[run number];max-tezina;min-tezina;postotak-tabu-lista;n-vrhova;[step];dubina-agenti;sirina-agenti;uniform-cost-agenti;dubina-ticks;sirina-ticks;pohlepni-ticks;uniform-ticks;tabu-ticks;tabu-rjesenje?;pohlepni-rjesenje?
1;50000;1000;25;10;1;32;48;24;13;13;3;13;3;TRUE;TRUE
2;50000;1000;25;10;1;82;65;25;22;22;2;22;2;TRUE;TRUE
3;50000;1000;25;10;1;17;17;17;6;6;4;6;4;TRUE;TRUE
4;50000;1000;25;10;1;210;210;202;92;92;8;92;8;TRUE;TRUE
5;50000;1000;25;10;1;61;89;61;28;28;5;28;5;TRUE;TRUE
6;50000;1000;25;10;1;40;33;25;12;12;3;12;3;TRUE;TRUE
7;50000;1000;25;10;1;32;57;17;13;13;2;13;2;TRUE;TRUE
8;50000;1000;25;10;1;9;9;9;3;3;1;3;1;TRUE;TRUE
9;50000;1000;25;10;1;38;38;38;15;15;8;15;8;TRUE;TRUE
10;50000;1000;25;10;1;47;56;32;17;17;7;17;7;TRUE;TRUE
11;50000;1000;25;10;1;93;86;40;28;28;4;28;4;TRUE;TRUE
12;50000;1000;25;10;1;24;24;24;9;9;5;9;5;TRUE;TRUE
13;50000;1000;25;10;1;25;25;25;9;9;3;9;3;TRUE;TRUE
14;50000;1000;25;10;1;47;64;32;18;18;7;18;7;TRUE;TRUE
15;50000;1000;25;10;1;17;17;17;6;6;7;6;7;TRUE;TRUE
16;50000;1000;25;10;1;9;9;9;3;3;1;3;1;TRUE;TRUE
17;50000;1000;25;11;1;28;82;28;15;15;2;15;2;TRUE;TRUE
18;50000;1000;25;11;1;268;90;63;54;54;9;54;9;TRUE;TRUE
19;50000;1000;25;11;1;44;44;44;15;15;6;15;6;TRUE;TRUE
20;50000;1000;25;11;1;140;82;55;33;33;2;33;2;TRUE;TRUE
21;50000;1000;25;11;1;71;57;57;23;23;8;23;8;TRUE;TRUE
22;50000;1000;25;11;1;188;146;120;54;54;4;54;4;TRUE;TRUE
23;50000;1000;25;11;1;19;19;19;6;6;3;6;3;TRUE;TRUE
24;50000;1000;25;11;1;67;46;19;15;15;2;15;2;TRUE;TRUE
25;50000;1000;25;11;1;141;88;52;33;33;5;33;5;TRUE;TRUE
26;50000;1000;25;11;1;102;81;36;25;25;4;25;4;TRUE;TRUE
27;50000;1000;25;11;1;92;73;19;21;21;2;21;2;TRUE;TRUE
28;50000;1000;25;11;1;10;10;10;3;3;1;3;1;TRUE;TRUE
29;50000;1000;25;11;1;37;37;37;12;12;10;12;10;TRUE;TRUE
30;50000;1000;25;11;1;117;95;68;33;33;6;33;6;TRUE;TRUE
31;50000;1000;25;11;1;10;10;10;3;3;1;3;1;TRUE;TRUE
32;50000;1000;25;11;1;36;36;36;12;12;5;12;5;TRUE;TRUE
33;50000;1000;25;12;1;38;38;38;12;12;4;12;4;TRUE;TRUE
34;50000;1000;25;12;1;109;70;50;24;24;8;24;8;TRUE;TRUE
35;50000;1000;25;12;1;131;131;131;45;45;5;45;5;TRUE;TRUE
36;50000;1000;25;12;1;152;100;40;31;31;6;31;6;TRUE;TRUE
37;50000;1000;25;12;1;254;140;110;57;57;9;57;9;TRUE;TRUE
38;50000;1000;25;12;1;235;198;178;69;69;9;69;9;TRUE;TRUE
39;50000;1000;25;12;1;288;91;31;46;46;8;46;8;TRUE;TRUE
40;50000;1000;25;12;1;114;119;49;29;29;3;29;3;TRUE;TRUE
41;50000;1000;25;12;1;21;21;21;6;6;5;6;5;TRUE;TRUE
42;50000;1000;25;12;1;222;190;113;60;60;6;60;6;TRUE;TRUE
43;50000;1000;25;12;1;115;111;41;28;28;6;28;6;TRUE;TRUE
44;50000;1000;25;12;1;69;69;69;21;21;10;21;10;TRUE;TRUE
45;50000;1000;25;12;1;148;148;148;48;48;6;48;6;TRUE;TRUE
46;50000;1000;25;12;1;59;59;59;18;18;3;18;3;TRUE;TRUE
47;50000;1000;25;12;1;11;11;11;3;3;1;3;1;TRUE;TRUE
48;50000;1000;25;12;1;224;199;189;68;68;11;68;11;TRUE;TRUE
49;50000;1000;25;13;1;23;23;23;6;6;8;6;8;TRUE;TRUE
50;50000;1000;25;13;1;33;106;33;16;16;3;16;3;TRUE;TRUE
51;50000;1000;25;13;1;152;199;105;44;44;3;44;3;TRUE;TRUE
52;50000;1000;25;13;1;83;83;83;24;24;12;24;12;TRUE;TRUE
53;50000;1000;25;13;1;61;83;61;20;20;4;20;4;TRUE;TRUE
54;50000;1000;25;13;1;81;81;71;23;23;7;23;7;TRUE;TRUE
55;50000;1000;25;13;1;413;157;81;67;67;8;67;8;TRUE;TRUE
56;50000;1000;25;13;1;181;152;54;37;37;7;37;7;TRUE;TRUE
57;50000;1000;25;13;1;298;252;230;78;78;7;78;7;TRUE;TRUE
58;50000;1000;25;13;1;56;56;56;15;15;12;15;12;TRUE;TRUE
59;50000;1000;25;13;1;798;249;205;139;139;11;139;11;TRUE;TRUE
60;50000;1000;25;13;1;62;62;62;18;18;8;18;8;TRUE;TRUE
61;50000;1000;25;13;1;54;65;54;16;16;3;16;3;TRUE;TRUE
62;50000;1000;25;13;1;155;108;108;38;38;6;38;6;TRUE;TRUE
63;50000;1000;25;13;1;45;45;45;12;12;12;12;12;TRUE;TRUE
64;50000;1000;25;13;1;12;12;12;3;3;1;3;1;TRUE;TRUE
65;50000;1000;25;14;1;853;825;825;246;246;12;246;12;TRUE;TRUE
66;50000;1000;25;14;1;82;94;82;22;22;8;22;8;TRUE;TRUE
67;50000;1000;25;14;1;25;25;25;6;6;10;6;10;TRUE;TRUE
68;50000;1000;25;14;1;845;608;551;198;198;12;198;12;TRUE;TRUE
69;50000;1000;25;14;1;25;25;25;6;6;3;6;3;TRUE;TRUE
70;50000;1000;25;14;1;168;163;67;35;35;5;35;5;TRUE;TRUE
71;50000;1000;25;14;1;13;13;13;3;3;1;3;1;TRUE;TRUE
72;50000;1000;25;14;1;25;25;25;6;6;11;6;11;TRUE;TRUE
73;50000;1000;25;14;1;25;25;25;6;6;12;6;12;TRUE;TRUE
74;50000;1000;25;14;1;165;201;165;48;48;7;48;7;TRUE;TRUE
75;50000;1000;25;14;1;48;49;25;10;10;2;10;2;TRUE;TRUE
76;50000;1000;25;14;1;48;48;48;12;12;12;12;12;TRUE;TRUE
77;50000;1000;25;14;1;199;200;168;51;51;8;51;8;TRUE;TRUE
78;50000;1000;25;14;1;116;139;93;30;30;3;30;3;TRUE;TRUE
79;50000;1000;25;14;1;105;105;105;27;27;13;27;13;TRUE;TRUE
80;50000;1000;25;14;1;190;84;60;29;29;2;29;2;TRUE;TRUE
81;50000;1000;25;15;1;157;157;157;39;39;7;39;7;TRUE;TRUE
82;50000;1000;25;15;1;100;113;100;25;25;7;25;7;TRUE;TRUE
83;50000;1000;25;15;1;4994;3370;3177;1181;1181;13;1181;13;TRUE;TRUE
84;50000;1000;25;15;1;152;152;152;36;36;11;36;11;TRUE;TRUE
85;50000;1000;25;15;1;280;236;175;56;56;7;56;7;TRUE;TRUE
86;50000;1000;25;15;1;321;194;77;49;49;2;49;2;TRUE;TRUE
87;50000;1000;25;15;1;1040;859;510;227;227;13;227;13;TRUE;TRUE
88;50000;1000;25;15;1;14;14;14;3;3;1;3;1;TRUE;TRUE
89;50000;1000;25;15;1;14;14;14;3;3;1;3;1;TRUE;TRUE
90;50000;1000;25;15;1;88;65;65;17;17;2;17;2;TRUE;TRUE
91;50000;1000;25;15;1;14;14;14;3;3;1;3;1;TRUE;TRUE
92;50000;1000;25;15;1;199;440;132;66;66;4;66;4;TRUE;TRUE
93;50000;1000;25;15;1;27;27;27;6;6;9;6;9;TRUE;TRUE
94;50000;1000;25;15;1;158;113;74;28;28;7;28;7;TRUE;TRUE
95;50000;1000;25;15;1;209;209;209;51;51;7;51;7;TRUE;TRUE
