[run number];max-tezina;min-tezina;postotak-tabu-lista;slucajni-graf-n;[step];dubina-agenti;sirina-agenti;uniform-cost-agenti;dubina-ticks;sirina-ticks;pohlepni-ticks;uniform-ticks;tabu-ticks;tabu-rjesenje?;pohlepni-rjesenje?
1;50000;1000;25;10;1;25;16;15;27;27;7;27;7;TRUE;TRUE
2;50000;1000;25;10;1;2;2;2;3;3;1;3;1;TRUE;TRUE
3;50000;1000;25;10;1;35;21;17;40;40;6;40;6;TRUE;TRUE
4;50000;1000;25;10;1;23;25;21;46;46;4;46;3;FALSE;FALSE
5;50000;1000;25;10;1;9;9;9;15;15;2;15;2;TRUE;TRUE
6;50000;1000;25;10;1;20;17;15;32;32;4;32;4;TRUE;TRUE
7;50000;1000;25;10;1;37;27;27;40;40;7;40;7;TRUE;TRUE
8;50000;1000;25;10;1;18;18;14;11;11;3;11;3;TRUE;TRUE
9;50000;1000;25;10;1;2;2;2;6;6;2;6;2;TRUE;TRUE
10;50000;1000;25;10;1;48;24;24;53;53;5;53;4;FALSE;FALSE
11;50000;1000;25;10;1;35;33;33;49;49;4;49;3;FALSE;FALSE
12;50000;1000;25;10;1;6;5;4;10;10;2;10;2;TRUE;TRUE
13;50000;1000;25;10;1;11;11;11;22;22;6;22;6;TRUE;TRUE
14;50000;1000;25;10;1;3;3;3;9;9;3;9;3;TRUE;TRUE
15;50000;1000;25;10;1;59;59;59;90;90;7;90;7;TRUE;TRUE
16;50000;1000;25;10;1;6;6;6;11;11;6;11;5;FALSE;FALSE
17;50000;1000;25;11;1;18;11;11;24;24;7;24;6;FALSE;FALSE
18;50000;1000;25;11;1;5;6;5;7;7;2;7;2;TRUE;TRUE
19;50000;1000;25;11;1;7;9;7;10;10;5;10;4;FALSE;FALSE
20;50000;1000;25;11;1;44;44;44;88;88;6;88;6;TRUE;TRUE
21;50000;1000;25;11;1;16;16;16;18;18;5;18;4;FALSE;FALSE
22;50000;1000;25;11;1;22;22;19;23;23;7;23;7;TRUE;TRUE
23;50000;1000;25;11;1;24;24;24;24;24;7;24;7;TRUE;TRUE
24;50000;1000;25;11;1;3;3;3;6;6;2;6;2;TRUE;TRUE
25;50000;1000;25;11;1;13;13;13;30;30;3;30;2;FALSE;FALSE
26;50000;1000;25;11;1;1;1;1;3;3;1;3;1;TRUE;TRUE
27;50000;1000;25;11;1;6;6;6;9;9;5;9;5;TRUE;TRUE
28;50000;1000;25;11;1;10;10;10;22;22;5;22;4;FALSE;FALSE
29;50000;1000;25;11;1;2;2;2;3;3;1;3;1;TRUE;TRUE
30;50000;1000;25;11;1;13;12;12;34;34;7;34;7;TRUE;TRUE
31;50000;1000;25;11;1;57;17;17;41;41;3;41;2;FALSE;FALSE
32;50000;1000;25;11;1;4;4;4;3;3;1;3;1;TRUE;TRUE
33;50000;1000;25;12;1;12;12;12;33;33;2;33;1;FALSE;FALSE
34;50000;1000;25;12;1;5;5;5;6;6;2;6;2;TRUE;TRUE
35;50000;1000;25;12;1;24;18;18;42;42;7;42;6;FALSE;FALSE
36;50000;1000;25;12;1;6;6;6;17;17;2;17;1;FALSE;FALSE
37;50000;1000;25;12;1;3;3;3;3;3;1;3;1;TRUE;TRUE
38;50000;1000;25;12;1;12;11;11;28;28;6;28;5;FALSE;FALSE
39;50000;1000;25;12;1;150;84;84;141;141;3;141;3;TRUE;TRUE
40;50000;1000;25;12;1;4;4;4;9;9;2;9;1;FALSE;FALSE
41;50000;1000;25;12;1;8;8;8;12;12;2;12;1;FALSE;FALSE
